,store_number,city,country,latitude,longitude,ownership_type,opening_time
239,35614-224449,Jakarta,ID,-6.187847,106.733284,LS,"('8', '00', 'AM')"
240,8075-148808,Jakarta,ID,-6.17959,106.742,LS,"('23', '23', 'AM')"
241,16219-169644,Jakarta,ID,-6.185257,106.754402,LS,"('7', '00', 'AM')"
242,57059-291060,Depok,ID,-6.223193,106.541138,LS,"('23', '23', 'AM')"
243,59093-293282,Jakarta,ID,-6.195113,106.768684,LS,"('23', '23', 'AM')"
244,5029-271204,Tangerang,ID,-6.130409,106.656419,LS,"('5', '00', 'AM')"
245,50652-275431,Jakarta,ID,-6.190693,106.767792,LS,"('23', '23', 'AM')"
246,58020-292201,Jakarta,ID,-6.198022,106.782152,LS,"('23', '23', 'AM')"
247,32153-121684,Jakarta,ID,-6.202169,106.815704,LS,"('6', '30', 'AM')"
248,13055-156050,Bandung,ID,-6.674935,107.439195,LS,"('7', '00', 'AM')"
249,19528-199166,Bandung,ID,-6.466501,107.444619,LS,"('23', '23', 'AM')"
250,53605-285828,Bandung,ID,-6.88598,107.581446,LS,"('23', '23', 'AM')"
251,31778-117006,Bandung,ID,-6.876232,107.596115,LS,"('9', '00', 'AM')"
252,51739-279287,Bandung,ID,-6.873254,107.605052,LS,"('23', '23', 'AM')"
253,52966-283889,Bandung,ID,-6.880801,107.599297,LS,"('23', '23', 'AM')"
254,49072-266889,Bandung,ID,-6.904385,107.58003,LS,"('23', '23', 'AM')"
255,52287-281382,Bandung,ID,-6.89872,107.595609,LS,"('23', '23', 'AM')"
256,35624-95643,Bandung,ID,-6.89415,107.60409,LS,"('10', '00', 'AM')"
257,26682-245067,Bandung,ID,-6.8959,107.616653,LS,"('23', '23', 'AM')"
258,51147-277370,Bandung,ID,-6.914573,107.594247,LS,"('23', '23', 'AM')"
259,17112-179325,Karawang,ID,-6.389509,107.395448,LS,"('6', '00', 'AM')"
260,58778-293054,Bandung,ID,-6.908133,107.610823,LS,"('23', '23', 'AM')"
261,51683-279087,Bandung,ID,-6.906303,107.61693,LS,"('23', '23', 'AM')"
262,23842-220764,Bandung,ID,-6.914318,107.608849,LS,"('23', '23', 'AM')"
263,23802-222966,Bandung,ID,-6.929973,107.587685,LS,"('23', '23', 'AM')"
264,50993-276888,Bandung,ID,-6.921406,107.609946,LS,"('23', '23', 'AM')"
265,54107-286362,Bandung,ID,-6.91369,107.62938,LS,"('23', '23', 'AM')"
266,24946-260764,Bandung,ID,-6.921099,107.620004,LS,"('23', '23', 'AM')"
267,57062-291067,Karawang,ID,-6.367739,107.358443,LS,"('23', '23', 'AM')"
268,52970-283888,Bandung,ID,-6.96011,107.580975,LS,"('23', '23', 'AM')"
269,35632-172427,Bandung,ID,-6.92626,107.63552,LS,"('10', '00', 'AM')"
270,49821-271383,Bandung,ID,-6.939112,107.624747,LS,"('23', '23', 'AM')"
271,26695-245070,Cikampek,ID,-6.509456,107.719165,LS,"('23', '23', 'AM')"
272,26696-245069,Cikampek,ID,-6.508035,107.720774,LS,"('23', '23', 'AM')"
273,58473-292676,Karawang,ID,-6.326207,107.292066,LS,"('23', '23', 'AM')"
274,17332-179327,Bekasi,ID,-6.349323,107.212093,LS,"('7', '00', 'AM')"
275,59885-294147,Bekasi,ID,-6.367393,107.178439,LS,"('23', '23', 'AM')"
276,49829-271389,Karawang,ID,-6.302318,107.279227,LS,"('23', '23', 'AM')"
277,54841-288579,Bekasi,ID,-6.34583,107.165718,LS,"('23', '23', 'AM')"
278,23638-231687,Bekasi,ID,-6.293426,107.171349,LS,"('23', '23', 'AM')"
279,15393-160948,Bekasi,ID,-6.2837,107.16981,LS,"('9', '00', 'AM')"
280,54544-286803,Bekasi,ID,-6.278893,107.048011,LS,"('23', '23', 'AM')"
281,19184-199145,Puncak,ID,-6.66042,106.87242,LS,"('6', '30', 'AM')"
282,30724-100465,Jakarta,ID,-6.268915,107.036304,LS,"('12', '00', 'AM')"
283,59852-294093,Bogor,ID,-6.567156,106.857405,LS,"('23', '23', 'AM')"
284,59818-294092,Jakarta,ID,-6.567431,106.856725,LS,"('23', '23', 'AM')"
285,47334-257767,Bogor,ID,-6.636392,106.843588,LS,"('23', '23', 'AM')"
286,50520-275435,Bekasi,ID,-6.277335,106.990485,LS,"('23', '23', 'AM')"
287,18972-275044,Jakarta,ID,-6.566762,106.846043,LS,"('23', '23', 'AM')"
288,8186-151544,Bogor,ID,-6.547082,106.849747,LS,"('6', '00', 'AM')"
289,61661-296098,Bekasi,ID,-6.249101,107.01424,LS,"('23', '23', 'AM')"
290,25442-224445,Bogor,ID,-6.575558,106.838482,LS,"('23', '23', 'AM')"
291,8012-150714,Semarang,ID,-6.979269,110.416043,LS,"('8', '00', 'AM')"
292,61503-295979,Semarang,ID,-6.982902,110.412047,LS,"('23', '23', 'AM')"
293,56776-290724,Semarang,ID,-6.98532,110.422063,LS,"('23', '23', 'AM')"
294,58152-292305,Semarang,ID,-6.984738,110.408828,LS,"('23', '23', 'AM')"
295,26097-220795,Semarang,ID,-6.989442,110.423972,LS,"('23', '23', 'AM')"
296,59216-293459,Semarang,ID,-6.968394,110.425505,LS,"('23', '23', 'AM')"
297,53599-285826,Semarang,ID,-7.006159,110.433015,LS,"('23', '23', 'AM')"
298,18242-291889,Semarang,ID,-6.966302,110.372884,LS,"('23', '23', 'AM')"
299,62172-296754,Semarang,ID,-7.046222,110.420504,LS,"('23', '23', 'AM')"
300,59196-293456,Semarang,ID,-6.99996,110.342172,LS,"('23', '23', 'AM')"
301,47476-256275,Semarang,ID,-7.128798,110.423968,LS,"('23', '23', 'AM')"
302,65998-300495,Semarang,ID,-7.326352,110.531216,LS,"('23', '23', 'AM')"
303,62104-296653,Semarang,ID,-7.326852,110.532128,LS,"('23', '23', 'AM')"
304,27601-297157,Yogyakarta,ID,-7.542613,110.031608,LS,"('23', '23', 'AM')"
305,31247-105747,Bogor,ID,-6.588853,106.80497,LS,"('7', '00', 'AM')"
306,55063-288848,Bogor,ID,-6.590528,106.804451,LS,"('23', '23', 'AM')"
307,29978-256274,Bogor,ID,-6.5578,106.77068,LS,"('23', '23', 'AM')"
308,20632-207348,Bogor,ID,-6.61021,106.79849,LS,"('7', '00', 'AM')"
309,21275-210464,Bogor,ID,-6.620719,106.815376,LS,"('23', '23', 'AM')"
310,24642-220786,Bogor,ID,-6.45004,106.836,LS,"('23', '23', 'AM')"
311,66752-301324,Bogor,ID,-6.571536,106.739718,LS,"('23', '23', 'AM')"
312,60302-294524,Bogor,ID,-6.400853,106.741607,LS,"('23', '23', 'AM')"
313,62090-296656,Depok,ID,-6.376255,106.742456,LS,"('23', '23', 'AM')"
314,31802-117325,Jakarta,ID,-6.121862,106.654535,LS,"('12', '00', 'AM')"
315,35612-88221,Tangerang,ID,-6.121756,106.653151,LS,"('12', '00', 'AM')"
316,61736-296229,Tangerang,ID,-6.121077,106.651958,LS,"('23', '23', 'AM')"
